CustomerID,CustomerName,CustomerType,RegistrationDate,LastOrderDate,TotalLifetimeValue,CustomerSegment,StateCode,City,ZipCode,AcquisitionChannel
62759609,Steven Mcguire,Individual,2021-07-21,2022-09-05,3651.83,Gold,AP,Kimberlyfort,12104,Online Ad
706d63c1,Robert Dixon,Corporate,2021-07-13,2022-12-20,2173.36,Gold,TN,Port Sarahport,25534,Social Media
82974aa4,Amy Gutierrez,Corporate,2023-08-14,2023-10-14,14876.9,Gold,UP,New Lisastad,49576,Social Media
a9ea76c6,Patricia Black,Small Business,2022-07-13,2022-10-11,7977.35,Silver,KA,Mccoyview,57860,Organic Search
3f3eef3b,Craig Jordan,Corporate,2022-10-22,2023-06-15,15684.99,Bronze,TS,Markbury,57866,Online Ad
7299b9ad,William Thomas,Individual,2021-10-17,2023-10-27,15820.41,Gold,MH,Patriciafurt,54128,Social Media
e34290c8,Mr. Rodney Edwards,Small Business,2024-04-03,2025-06-16,7403.87,Bronze,AP,Harrisbury,54269,Referral
9f7d6052,Amanda Rosales,Corporate,2022-06-23,2024-05-15,17859.28,Gold,MH,Port Kimberlyburgh,02410,Organic Search
27eea1b1,Louis Young,Small Business,2022-09-27,2023-03-31,2153.33,Bronze,GJ,Williamsland,99702,Referral
8063ea9e,Douglas Guzman,Small Business,2021-11-18,2022-04-21,3426.11,Bronze,KA,North Christine,10089,Referral
6bacd138,John Huff,Corporate,2023-02-26,2023-09-19,11331.59,Silver,TN,East Andrew,26130,Referral
af04e2cf,Richard Williamson,Small Business,2023-09-29,2024-10-07,11162.57,Bronze,TS,Fullerville,49647,Referral
9dd748a9,Michael Lawrence,Corporate,2021-10-14,2023-04-04,11732.49,Silver,TN,New Michaelfurt,99283,Organic Search
d05e42c9,Janet Roberts,Small Business,2021-08-19,2024-12-22,11181.35,Gold,TS,Port James,34070,Online Ad
93265d60,Justin Leonard,Corporate,2023-07-07,2024-04-10,1497.8,Gold,MH,North Heidichester,33582,Social Media
4872851d,Ashley Nelson,Individual,2022-04-07,2022-05-06,16147.02,Silver,RJ,North Ashley,22571,Referral
a6f506be,Timothy Foster,Individual,2024-02-05,2024-07-21,15207.73,Gold,UP,New Denise,47363,Social Media
fa36ca76,Jennifer Davis,Individual,2024-06-03,2024-07-30,648.25,Silver,MH,Angelicaville,75944,Social Media
fa9bda46,Brendan Huynh,Corporate,2022-01-26,2025-02-27,15644.74,Silver,KA,Kimshire,31403,Online Ad
ce1abb4f,Kimberly Brown,Corporate,2022-08-20,2024-04-21,1233.66,Silver,GJ,Meyerschester,50103,Organic Search
4240d0a2,Mrs. Sandra Mcdonald,Small Business,2021-11-10,2023-02-10,18344.78,Gold,KA,Meganside,82305,Organic Search
e91d9664,Holly Hall,Small Business,2024-02-20,2024-12-30,495.98,Bronze,UP,Lewisfort,79347,Organic Search
bbc58400,Alisha Munoz,Individual,2022-03-14,2023-07-01,16271.75,Gold,UP,East Dianahaven,29688,Online Ad
ba55a898,Alicia Ramsey,Small Business,2022-12-01,2025-05-24,18452.35,Bronze,AP,Jessicaberg,51371,Social Media
252a5746,David Miller,Corporate,2022-08-12,2023-10-13,8974.34,Silver,TS,Pachecostad,28917,Social Media
7af95801,James Mcdaniel,Corporate,2024-03-04,2025-02-27,12727.74,Gold,TS,Washingtonland,56645,Social Media
5c716e06,Jennifer Greene,Small Business,2022-05-31,2022-08-05,18440.58,Gold,GJ,Port Anthony,97790,Referral
236d8a45,Michelle Wright,Corporate,2023-05-07,2024-06-07,14002.21,Silver,UP,North Kelly,02842,Organic Search
99181ae6,Ashley Santiago,Corporate,2024-04-14,2025-06-11,2843.1,Silver,KA,Rogersmouth,89640,Organic Search
23fbc8a3,Linda Lopez,Corporate,2024-02-26,2024-06-07,19746.32,Bronze,WB,Melanieland,67783,Social Media
2f311db2,April Gordon,Individual,2023-05-24,2024-07-26,19477.66,Silver,DL,Karenshire,08299,Organic Search
3658ff05,Mr. Brad Lopez,Corporate,2024-02-08,2024-03-04,6909.51,Gold,AP,New Lauren,65582,Organic Search
01c649fd,Rachel Martinez,Small Business,2023-04-11,2024-01-02,19395.35,Gold,UP,Michaelmouth,24291,Organic Search
14fcdaf8,Evelyn Jordan,Individual,2022-12-15,2023-06-29,16644.65,Silver,WB,Julieview,75339,Online Ad
84501043,Andrew Evans,Individual,2023-07-18,2024-01-31,15686.72,Gold,GJ,Hesterland,27924,Online Ad
b3efc45f,Peter George,Corporate,2023-09-14,2023-09-22,14845.47,Bronze,DL,New Jacob,44185,Social Media
cdf2873f,Jonathan Roberts,Small Business,2022-01-15,2024-04-13,446.36,Bronze,RJ,Laurenhaven,39516,Referral
d6194ca4,Cameron Patterson,Individual,2022-06-10,2025-04-05,11317.47,Gold,UP,Johnsonberg,70866,Referral
d86a9b40,Ian Jimenez,Individual,2022-02-21,2024-01-26,2956.05,Bronze,TN,East John,56580,Online Ad
7faf6e12,Kevin Johnston,Corporate,2021-07-19,2023-09-05,14927.67,Gold,TN,Shaneborough,32034,Referral
316a6e30,Stephanie Snyder,Small Business,2023-09-18,2025-07-03,19583.78,Silver,RJ,Holtmouth,97549,Referral
6303cfbe,Krista House,Individual,2021-12-07,2022-02-26,8805.42,Silver,AP,Lake William,24599,Organic Search
8f3ffda7,Hannah Strickland,Small Business,2022-08-09,2024-05-06,11153.01,Silver,KA,Lake Arielhaven,90635,Online Ad
2f4ad712,Craig Leon,Individual,2023-06-24,2024-07-13,15775.78,Silver,AP,Westhaven,67301,Organic Search
89a35501,Amber Schneider,Small Business,2023-03-06,2024-03-23,10962.52,Silver,DL,South Patrick,81317,Organic Search
bd7aa1c1,Robert Oneal,Small Business,2023-10-12,2024-01-17,10283.66,Silver,TS,Bowmanshire,37175,Social Media
b2e9ef26,Joann Quinn,Individual,2023-07-27,2024-07-08,8572.85,Silver,DL,Clarkestad,93613,Organic Search
c0aaeba9,Gloria Bailey,Individual,2022-04-01,2022-12-09,14124.46,Silver,TN,Lake Jorge,39761,Referral
acaf1ab1,Joshua Bautista,Individual,2022-04-14,2022-09-25,2811.85,Gold,AP,North Markside,17674,Referral
bf382d07,Michael Craig,Corporate,2024-06-15,2025-05-12,19133.08,Gold,DL,Smithville,14081,Referral
56e528fb,Brad Flores,Corporate,2021-09-28,2024-07-31,18214.66,Bronze,AP,New William,83862,Organic Search
e199e527,Vincent Smith,Small Business,2024-02-16,2024-10-03,10156.45,Bronze,UP,East Justinbury,33576,Social Media
fe39291c,Steven Horn,Individual,2021-09-26,2022-05-07,13371.64,Silver,TN,North Jonathan,59249,Social Media
c57c9141,Julia Williams,Individual,2023-01-21,2025-03-13,2939.47,Gold,MH,Woodtown,62779,Referral
ab419909,Lisa Peterson,Corporate,2022-03-22,2023-09-07,709.76,Bronze,AP,Port Alexander,14270,Referral
f304c592,Tara Ward,Corporate,2022-02-19,2023-05-15,17645.54,Gold,WB,Janebury,93580,Referral
c1b3270c,Christina Marshall,Individual,2022-10-16,2023-07-06,3090.67,Bronze,MH,New Christie,95321,Social Media
c97fc88d,Carlos Avery,Individual,2022-07-03,2022-12-12,17031.24,Silver,GJ,Brianton,97041,Organic Search
dfb77ef5,James Stone,Individual,2021-07-19,2024-12-10,9341.46,Gold,WB,West Kathleenborough,82544,Social Media
e0ce1365,Kaitlyn Miller,Corporate,2023-05-09,2023-09-03,9960.98,Gold,TN,Parkerbury,66058,Social Media
ec3106e9,Courtney Wilcox,Individual,2022-05-10,2025-06-06,826.57,Silver,DL,Michaelmouth,88294,Social Media
5b0a4c50,Patricia Solis,Small Business,2023-08-21,2024-08-13,9772.82,Bronze,WB,Caldwellville,86859,Referral
3e85f6ba,Richard Macias,Corporate,2022-12-17,2023-04-23,6581.55,Silver,TS,East Jasonburgh,60140,Online Ad
1ba45cd2,Sharon Lewis,Small Business,2023-10-04,2024-04-29,9471.81,Gold,DL,Millerhaven,66631,Referral
3d405c2d,Aimee Weiss,Small Business,2022-06-09,2025-01-14,6574.16,Silver,UP,Amandastad,00599,Organic Search
40433bc7,Michelle Ramos,Individual,2021-09-02,2022-02-01,16624.38,Silver,UP,South Angelachester,81219,Online Ad
75b92266,Andrew Arias,Individual,2023-01-12,2024-03-08,16474.34,Gold,TN,Christinaport,25289,Social Media
cbaddf10,Sandra Martinez,Corporate,2023-11-02,2023-12-10,17734.7,Silver,AP,East Barry,53927,Referral
21429062,Jacqueline Miller,Corporate,2023-08-07,2023-09-13,2572.13,Bronze,KA,Gainesberg,54112,Referral
d617c87e,Kathleen Choi,Corporate,2023-08-01,2025-03-19,1139.85,Gold,RJ,Lake Nicolechester,03370,Referral
4617a7b9,Michelle Brown,Small Business,2024-05-10,2025-01-20,16897.71,Silver,UP,Port Cathy,72177,Social Media
6f43181f,Eric Jimenez,Corporate,2023-11-02,2024-07-13,16724.27,Gold,TS,Joshuashire,10152,Referral
aff56e9d,Deborah Brown,Corporate,2021-12-01,2023-05-03,19899.0,Silver,DL,Whitechester,28783,Organic Search
d6d3e6ac,Heather Duran,Individual,2021-07-28,2023-10-25,1270.25,Silver,GJ,Moralesborough,86827,Social Media
ac07f887,Mary Baker,Individual,2023-03-07,2023-08-25,3737.26,Silver,KA,Paulfort,13696,Social Media
73c2c4c3,Fred Washington,Individual,2022-05-26,2024-11-16,6878.95,Silver,TS,Rodriguezport,43476,Organic Search
75010ba5,James Gibson,Individual,2023-05-11,2023-12-26,4956.99,Silver,DL,Mitchellberg,49853,Online Ad
fdf25db9,Ronald Anderson,Corporate,2023-08-12,2024-11-11,14805.34,Silver,UP,Michaelshire,62095,Organic Search
adbd70e0,Karen Sandoval,Individual,2023-04-08,2024-11-13,7516.94,Silver,UP,East Caleb,54365,Online Ad
29c53ddb,Henry Mann,Small Business,2023-02-11,2025-02-03,2595.06,Silver,KA,New Jenniferton,60742,Social Media
bdb24a6c,Kristina Pratt,Individual,2021-12-31,2024-08-19,6047.53,Silver,GJ,East Daniel,33648,Social Media
5e32f359,Michelle Scott,Corporate,2023-03-23,2024-08-06,11067.36,Silver,GJ,Keithtown,17406,Social Media
d4037de6,Amanda Rivera,Corporate,2024-04-22,2024-06-04,17441.96,Bronze,GJ,Harveychester,36676,Organic Search
182a8de6,Mackenzie Austin,Small Business,2023-02-06,2024-02-26,18557.64,Gold,TS,Port Thomas,65727,Online Ad
e29ec645,Holly Torres,Individual,2021-11-03,2024-05-17,9356.59,Silver,TN,Jillianton,46765,Referral
ded5a465,James Carter,Small Business,2024-02-24,2024-09-19,8389.15,Silver,UP,South Paulafort,25197,Organic Search
a1581b88,Jodi James,Individual,2023-08-24,2024-11-23,10025.65,Silver,AP,Rhodesborough,69984,Organic Search
1d7ab4d5,Benjamin Oneal,Corporate,2023-02-12,2023-08-27,6941.72,Silver,DL,Cassandraville,80901,Social Media
a2e0e5f4,Theresa Brown,Small Business,2023-12-15,2025-05-22,2157.54,Gold,KA,South Lindaport,73968,Referral
48f36132,Matthew Gonzalez,Small Business,2023-10-15,2025-06-21,10778.04,Bronze,RJ,Tammystad,07510,Referral
0c8e7061,Chad Taylor,Individual,2023-02-19,2024-06-29,8042.25,Silver,AP,West Ashlee,75052,Referral
c430e9a6,Timothy Christensen,Small Business,2024-03-09,2025-03-16,16077.79,Bronze,MH,East Katrinaville,60814,Social Media
17a45573,Mrs. Mercedes Bradley,Individual,2023-09-11,2024-07-24,10888.44,Gold,DL,Lake Johnfurt,56436,Online Ad
71dc9cee,Karen Harris,Small Business,2022-01-02,2025-03-02,4985.49,Silver,TN,North Allisontown,03416,Referral
c07ca4d8,Michelle Nelson,Corporate,2023-03-29,2024-06-04,10968.33,Silver,TN,East Jenniferfort,06368,Online Ad
3c872847,Tammy Vaughan,Small Business,2023-02-07,2024-06-07,5019.4,Silver,TN,Lake Jessicamouth,57201,Organic Search
118884a5,Dominique Davidson,Small Business,2022-05-23,2024-07-26,8715.29,Gold,TS,Lake Migueltown,36382,Referral
5f0347bf,Daniel Snyder,Corporate,2022-04-22,2022-05-01,14703.11,Bronze,UP,Wilsonport,20135,Organic Search
3456ffd6,Susan Johns,Corporate,2021-09-24,2023-06-12,12245.39,Bronze,RJ,New Stephen,84380,Social Media
63c5e1c4,Randy Wright,Corporate,2021-08-28,2023-03-24,6366.63,Gold,KA,West Angelicamouth,08603,Organic Search
218cce77,Randy Lewis,Individual,2023-10-01,2025-05-17,15311.51,Gold,DL,Stokesport,95391,Online Ad
6d548ba7,Karina Khan,Small Business,2021-12-23,2022-07-10,1315.74,Bronze,AP,New Danny,75123,Social Media
1c82b5dc,Julie Shaw,Small Business,2021-08-04,2023-01-19,10240.13,Bronze,RJ,South Peggy,89843,Referral
815ecb42,John Berry,Small Business,2023-11-14,2024-11-13,8071.44,Silver,WB,Nunezmouth,17799,Organic Search
db24e744,Laura Reynolds,Corporate,2021-10-06,2023-03-08,17421.69,Gold,RJ,Davisland,55680,Online Ad
89f7861c,Alicia Hood,Individual,2024-05-28,2025-01-18,939.08,Bronze,GJ,Allenburgh,09941,Organic Search
29f6b90c,Garrett Johnson,Small Business,2024-03-30,2024-10-01,8442.51,Bronze,DL,Robertbury,43999,Social Media
10839304,Dylan Parsons,Small Business,2024-06-24,2025-05-22,19120.19,Bronze,UP,Josephview,48343,Social Media
d37de443,David Mayo,Small Business,2022-06-10,2022-11-08,4558.57,Silver,TS,Jessicaville,06001,Organic Search
449d0ae7,Belinda Stone,Individual,2023-11-21,2024-11-30,6292.23,Bronze,UP,Johnmouth,93624,Online Ad
cd60255b,Aaron White,Corporate,2022-05-05,2024-09-06,2537.58,Gold,RJ,Suzanneborough,18586,Organic Search
132b129a,Eugene Taylor,Corporate,2024-05-21,2025-03-04,19632.48,Silver,MH,North Jonathan,93969,Referral
6aef6a0d,Taylor Wilson,Corporate,2024-01-19,2024-08-13,6079.31,Gold,TS,Torrestown,02126,Referral
fba3c566,Lisa Aguilar,Corporate,2024-01-03,2024-08-24,14754.8,Silver,DL,Port Alexisland,81894,Social Media
d7be969f,Kayla Wilson,Corporate,2022-03-25,2025-02-19,10391.42,Silver,UP,North Michael,51714,Referral
e14087a8,Natasha Taylor,Individual,2023-05-10,2024-05-21,9202.62,Silver,GJ,Fowlerbury,79399,Social Media
fcbe2d13,Ricky Delgado,Small Business,2022-06-13,2022-07-18,18331.05,Bronze,TN,Port Brian,28751,Social Media
5873409e,Nicole Gates,Small Business,2023-09-27,2025-04-11,12788.75,Bronze,MH,East Henryview,26747,Referral
879374d1,Latoya Perez PhD,Individual,2024-04-19,2025-01-28,19475.94,Silver,UP,New Dustin,46728,Social Media
87de1ccf,Rodney Black,Small Business,2023-03-18,2023-09-01,2476.77,Silver,RJ,Lake Sarahfort,80600,Social Media
359ab033,Cody Lewis,Individual,2023-05-05,2024-02-27,4128.92,Bronze,RJ,Fieldsstad,92662,Online Ad
9b4d379b,Robert Conway,Corporate,2022-05-03,2024-07-02,5466.16,Bronze,GJ,Roblestown,33372,Social Media
e511e533,Michael Phillips,Corporate,2022-08-08,2024-12-21,8548.91,Bronze,RJ,East Matthewville,13205,Organic Search
72c99f04,Patrick Dawson,Individual,2022-03-22,2023-12-26,13231.63,Bronze,RJ,West Nicholasland,92737,Social Media
a49227d1,Dr. Melissa Coffey,Small Business,2024-06-22,2025-01-06,19103.87,Silver,RJ,Aliciabury,72912,Social Media
22d51790,Jaclyn Rasmussen,Corporate,2021-10-22,2023-05-24,6863.55,Gold,TN,Beardburgh,94611,Social Media
c6ad411a,Miss Emily Rodriguez,Individual,2022-07-10,2024-12-23,16339.48,Bronze,UP,Adkinsborough,49854,Referral
8f9d3066,Andrew Thompson,Small Business,2024-01-15,2024-10-28,15530.2,Bronze,TN,East Susan,06304,Organic Search
d7c90098,Jose Ray,Corporate,2023-05-10,2023-12-26,6838.43,Bronze,DL,Josephbury,40710,Organic Search
88cc49a8,Amy Schmidt,Small Business,2022-08-20,2023-05-29,367.7,Bronze,DL,Cunninghamfort,23334,Social Media
e51507de,Juan Roberts,Small Business,2024-02-21,2025-05-21,7599.45,Silver,RJ,New David,79700,Referral
8e36b189,Anthony West,Small Business,2024-01-18,2024-08-03,932.96,Gold,DL,New Robinberg,95447,Online Ad
ec8bced3,Anthony Little,Small Business,2022-12-04,2024-07-24,6401.89,Gold,AP,North Peter,50757,Referral
6895ee9e,Aimee Johnson,Small Business,2024-04-25,2024-11-04,3003.36,Silver,TS,Jenniferstad,03632,Online Ad
6d59d5af,Morgan Stewart,Corporate,2022-08-01,2024-04-16,13115.39,Bronze,WB,Port Robertland,38817,Online Ad
f7e52ba2,Virginia Thomas,Corporate,2023-05-09,2024-12-16,16867.04,Bronze,TN,Sandovalport,00885,Online Ad
17f9b0f3,Stephanie King,Individual,2023-08-11,2025-06-22,14554.43,Silver,RJ,Melissafort,50340,Online Ad
2c9e6dbc,Annette Duke,Individual,2023-03-14,2024-10-11,8620.76,Bronze,KA,Anthonyville,66886,Referral
e3cb99dd,Cathy Flores,Corporate,2022-05-24,2024-10-28,10627.3,Bronze,WB,New Ryan,30507,Organic Search
47ccb3b1,Robert Thornton,Individual,2023-07-15,2025-03-11,5623.47,Gold,DL,Cuevasmouth,29970,Organic Search
62f45ccc,Patricia Adams,Corporate,2022-06-07,2023-04-14,18028.11,Silver,AP,Kristaton,99834,Online Ad
4e14b37c,Joseph Smith,Corporate,2024-01-01,2024-01-31,16820.81,Silver,WB,Desireeville,18179,Social Media
22dde894,Keith Terry,Individual,2023-12-09,2025-06-11,15296.92,Gold,UP,South Kellyshire,18861,Social Media
58b05797,Laura Martin,Corporate,2022-04-10,2024-07-03,8479.06,Silver,KA,East Danielchester,94830,Organic Search
47582735,Abigail Johnson,Small Business,2021-08-25,2023-11-17,19230.61,Silver,UP,Port Terri,22898,Organic Search
e7f6da6a,Charles Bowen,Individual,2024-07-04,2025-05-21,19131.4,Gold,GJ,New Carlborough,34485,Referral
7219bcd5,Michele Smith,Individual,2022-01-04,2022-09-01,5817.29,Silver,MH,Sarahshire,78612,Social Media
f72702ea,Amy Guzman,Small Business,2022-12-27,2024-11-12,1508.57,Silver,TS,New Williamfurt,84946,Referral
5d9f72ee,Amy Whitaker,Corporate,2022-07-16,2022-09-30,15447.71,Bronze,DL,Lake Kristenborough,69474,Online Ad
85d8b175,Douglas Chapman,Individual,2022-04-09,2024-02-07,3980.21,Gold,GJ,Lisaberg,91403,Social Media
91eb395b,Brian Hughes,Corporate,2024-04-09,2024-11-16,12104.29,Gold,RJ,Ryanville,21462,Social Media
18262412,Erin Terry,Small Business,2023-03-16,2023-04-22,7775.94,Silver,TN,Benjaminstad,32047,Referral
aa6ef4d4,Jamie Weber,Individual,2021-11-30,2022-07-05,9429.63,Silver,RJ,West Jennifermouth,76203,Referral
7cdfa06c,David Johnson,Small Business,2023-04-08,2024-11-04,14549.41,Silver,GJ,Garciabury,79704,Organic Search
51b16643,Ray Browning,Individual,2024-06-03,2025-02-12,6764.78,Silver,KA,Smithfort,44849,Organic Search
1d390e44,Timothy Aguirre,Individual,2023-11-08,2025-01-29,2146.03,Silver,WB,East Adam,59363,Online Ad
689a94a5,Ronald Craig,Small Business,2021-08-29,2025-05-19,3161.46,Silver,TN,Port Angelton,89964,Organic Search
42d2f4d1,Perry Fischer,Individual,2022-04-05,2025-05-27,13707.79,Bronze,MH,East Davidburgh,93469,Online Ad
0b79e7c2,Ernest Taylor,Small Business,2024-02-02,2024-08-22,18824.15,Silver,MH,East Kelsey,07381,Organic Search
dce622d5,Michael Wilson,Small Business,2022-01-12,2025-05-03,7041.73,Gold,RJ,Douglasburgh,51089,Referral
c3c7a521,Mrs. Alicia Contreras MD,Small Business,2022-04-25,2022-07-16,10199.3,Silver,KA,Brittanyview,84608,Organic Search
e3559a21,Brian Phillips,Corporate,2021-11-29,2022-08-06,16175.15,Gold,TS,Xavierhaven,35721,Organic Search
587a4a81,Johnny Santana,Small Business,2022-02-18,2025-06-01,3579.66,Gold,AP,Samueltown,40130,Referral
4d6242a1,Sarah Merritt,Individual,2021-11-01,2025-07-04,6541.21,Bronze,UP,Port Michael,26925,Online Ad
376eca5f,Kristin Weaver,Small Business,2023-03-04,2025-06-05,9349.94,Silver,RJ,Santanaview,26509,Social Media
760c86fc,Mrs. Beth Owens,Individual,2023-05-13,2024-05-28,11341.61,Gold,DL,Port Christine,07344,Social Media
8fc8cf52,Cameron Richardson,Small Business,2022-03-30,2024-11-20,16228.83,Silver,TS,Joshuastad,35687,Organic Search
ee6b5335,Taylor Pena,Individual,2023-10-26,2024-01-12,19254.0,Bronze,RJ,Port Caitlin,93403,Organic Search
952a431f,Marissa Obrien,Individual,2024-01-10,2024-12-25,6524.28,Silver,MH,Kennethborough,48303,Organic Search
ef9861ce,Kimberly Lara,Corporate,2022-10-09,2024-02-16,767.53,Silver,TN,South Jason,43004,Referral
75c4c9fb,Dustin Ramirez,Corporate,2022-02-15,2024-10-07,9330.25,Silver,GJ,South Kyle,61060,Social Media
3259093a,Kyle Davis,Small Business,2023-03-19,2023-08-23,7182.8,Gold,GJ,Kevinport,15027,Online Ad
674ade83,Shawn Brown,Small Business,2021-10-30,2023-04-21,19624.75,Gold,MH,South Codyhaven,68763,Referral
0564774f,Dana Castillo,Corporate,2022-04-18,2024-03-22,13921.21,Silver,GJ,Port Jermaine,91358,Social Media
b7973422,Crystal Brooks,Small Business,2023-01-15,2024-12-30,4375.73,Gold,DL,East Caitlin,45848,Social Media
4883cf73,Daniel Fisher,Corporate,2023-09-03,2025-01-12,13798.37,Bronze,UP,New Annstad,05891,Social Media
ca81de3c,Kendra Richardson,Small Business,2024-01-13,2024-08-10,13130.21,Bronze,DL,West Kristin,29982,Referral
6ec48765,Victor Shaw,Individual,2021-09-20,2023-02-19,8015.49,Silver,GJ,Yeseniastad,30334,Organic Search
bf5d2000,Randy Chavez,Individual,2022-02-06,2022-03-29,17860.2,Bronze,GJ,East Nancy,69379,Referral
46b3277e,Anthony Fowler,Small Business,2023-09-28,2024-10-16,18252.54,Bronze,MH,Edwardville,48904,Referral
8118c1e1,Kimberly Gilmore,Corporate,2023-10-14,2025-01-19,2538.98,Silver,RJ,New Monica,25747,Online Ad
983104cd,April Sanders,Individual,2023-10-25,2024-10-18,9198.96,Gold,UP,West Joshua,19121,Social Media
ae3c37a7,Charles Fitzgerald,Individual,2022-09-24,2024-08-04,2553.69,Silver,GJ,Nguyenbury,42669,Referral
d55e8058,Edward Nash,Individual,2024-03-04,2025-04-26,17117.64,Bronze,DL,South Jason,34148,Online Ad
74acb3a6,Brian Fisher,Small Business,2024-06-26,2024-07-08,2748.91,Bronze,AP,Port Ashleymouth,04900,Referral
a3eeeecc,Elizabeth Reynolds,Corporate,2023-04-27,2024-09-20,13799.0,Bronze,UP,North Monica,43063,Social Media
ff7df2fa,Kathleen Knapp,Small Business,2022-04-14,2022-10-20,13751.81,Silver,UP,Jenningsbury,17117,Online Ad
2bb8b549,Mary Marshall,Individual,2021-09-22,2024-08-26,19242.38,Gold,GJ,Georgebury,62573,Referral
